al_ContractNumber;al_amount;al_issue_M_group;sex;is_client_local;has_snils;zaim_cards;age;has_foreign_currency_credits;court_counts;official_count;has_resold_credits;cred_line_state;potreb_tot;potreb_active_tot_group;potreb_other_states_tot;pdl_tot;pdl_closed_tot;pdl_active_to_total_group;pdl_delay5_cnt;pdl_delay30_cnt;pdl_delay60_cnt;pdl_delay90_cnt;pdl_delay_more_cnt;pdl_prolong_cnt;avg_payout_period_pdl;avg_pdl_full_cost;avg_pdl_amount;pdl_delay5_avg;pdl_delay30_avg;pdl_delay60_avg;pdl_delay90_avg;pdl_delay_more_avg;res_npl_15;is_test
882-001-17;3000;1;1;0;0;0;2;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
1776-001-17;5000;1;1;0;1;0;2;0;0;0;0;2;1;3;0;1;1;1;0;1;0;1;1;1;0;1;1;0;0;0;0;0;1;0
2234-001-17;5000;1;1;0;1;0;3;0;0;0;0;2;1;3;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
2649-001-17;5000;1;2;1;1;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
2320-001-17;3000;1;2;1;1;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
4105-001-17;4000;1;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
3969-001-17;3000;1;1;0;1;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
4634-001-17;4000;1;1;1;1;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
7146-001-17;5000;1;1;1;1;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
7378-001-17;5000;1;1;0;1;0;1;0;0;1;0;2;1;1;0;1;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0
6909-001-17;5000;1;2;0;1;0;2;0;0;1;0;2;1;3;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0
7439-001-17;5000;1;2;1;0;0;3;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
8489-001-17;5000;1;1;1;0;0;2;0;0;0;0;2;1;1;0;1;1;1;0;1;1;0;0;1;1;2;1;0;1;1;0;0;0;0
8528-001-17;5000;1;1;0;1;0;1;0;0;0;0;1;1;2;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
9602-001-17;5000;1;1;0;1;0;2;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
10824-001-17;5000;1;2;0;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
10817-001-17;5000;1;2;0;1;0;2;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
13560-001-17;5000;1;1;1;1;0;2;0;0;0;0;2;1;3;0;1;1;1;0;1;0;1;1;1;0;1;1;0;0;0;1;1;0;0
13501-001-17;5000;1;1;1;1;0;1;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
13086-001-17;5000;1;1;0;1;0;2;0;0;0;0;2;1;1;0;1;0;2;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0
14254-001-17;5000;1;1;0;1;0;2;0;0;0;0;2;1;3;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;1;1;0;0
15188-001-17;5000;1;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
16075-001-17;5000;1;1;0;0;0;2;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
15967-001-17;3000;1;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
17077-001-17;5000;1;1;0;1;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
18004-001-17;5000;1;2;0;1;0;3;0;0;0;0;2;1;3;0;1;0;2;0;0;0;0;0;1;1;2;1;0;0;0;0;0;0;0
17567-001-17;4000;1;2;1;0;0;3;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
19642-001-17;5000;1;2;0;1;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
